Date,dataset,Open,High,Low,Close,return,garch_omega,garch_alpha,garch_beta,garch_vol,std5,std14,std25,vol_regime,ema_5,ema_20,feat,ema_gamma,ema_beta,direction_signal,predicted_next,close_delta,target,next_actual,error_inr,error_pct
1900-01-01,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,present-or-past only,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***,*** FUTURE / EVAL ONLY ***
2004-01-06,train,45.467999,45.604,45.457001,45.549,0.0018255399639290903,2.8065599500677346e-07,0.06888888888888889,0.92,0.002753355402172602,0.04916845025521085,0.061590170926833804,0.05941546202513016,medium,45.52632173463728,45.50696467460642,0.019357060030856132,0.2696598224735318,0.36411471787154603,-1,45.48629370739322,-0.16199900000000156,-1,45.387001,0.09929270739322504,0.21876904224895816
2004-01-07,train,45.548,45.560001,45.375,45.387001,-0.0035565874113592244,2.8065599500677346e-07,0.06888888888888889,0.92,0.0027358222775971802,0.08285401981979916,0.0651382438645543,0.05924147486606322,high,45.479881489758185,45.49553956273914,-0.015658072980954785,0.2696598224735318,0.36411471787154603,-1,45.26283023155087,0.08099800000000101,1,45.467999,-0.20516876844912701,-0.4512377341460024
2004-01-08,train,45.391998,45.490002,45.345001,45.467999,0.001784607888060341,2.8065599500677346e-07,0.06888888888888889,0.92,0.0028351364754648336,0.08338653189034644,0.0631924430436434,0.05660111413237722,high,45.47592065983879,45.49291665200208,-0.016995992163288065,0.2696598224735318,0.36411471787154603,-1,45.3390910175687,-0.1169969999999978,-1,45.351002,-0.011910982431302841,-0.026263989561471742
2004-01-09,train,45.464001,45.494999,45.23,45.351002,-0.002573172397580037,2.8065599500677346e-07,0.06888888888888889,0.92,0.0028098067549125983,0.07743104223307237,0.07202040019907563,0.06067874532711639,high,45.4342811065592,45.479400970859025,-0.04511986429982784,0.2696598224735318,0.36411471787154603,-1,45.223574448238345,-0.006999999999997897,-1,45.344002,-0.12042755176165798,-0.2655865085787046
2004-01-12,train,45.328999,45.396999,45.299999,45.344002,-0.00015435160616728005,2.8065599500677346e-07,0.06888888888888889,0.92,0.0028284619674347053,0.08742147849184181,0.0769737048075642,0.06462377543326951,high,45.40418807103947,45.466505830777216,-0.06231775973774489,0.2696598224735318,0.36411471787154603,-1,45.21574821489172,-0.031002000000000862,-1,45.313,-0.09725178510828414,-0.21462226095885095
2004-01-13,train,45.348999,45.365002,45.231998,45.313,-0.0006837067447200695,2.8065599500677346e-07,0.06888888888888889,0.92,0.002764503312683915,0.0594660348577189,0.08774434505397133,0.07025217186144204,medium,45.37379204735965,45.45188622784605,-0.07809418048640282,0.2696598224735318,0.36411471787154603,-1,45.25036603069618,0.014998999999995988,1,45.327999,-0.07763296930382069,-0.1712693501070292
2004-01-14,train,45.312,45.405998,45.244999,45.327999,0.0003310087612824475,2.8065599500677346e-07,0.06888888888888889,0.92,0.002709970244324955,0.061706046723959025,0.09480520573340782,0.07267107935375379,medium,45.35852769823977,45.44008744424167,-0.08155974600190063,0.2696598224735318,0.36411471787154603,-1,45.2665802357376,0.021000000000000796,1,45.348999,-0.08241876426239969,-0.1817432933026806
2004-01-15,train,45.334,45.389,45.299999,45.348999,0.00046328980902066164,2.8065599500677346e-07,0.06888888888888889,0.92,0.002654171727156621,0.016171564621247823,0.09887168769409144,0.07515824280236673,medium,45.35535146549318,45.43141235431389,-0.07606088882071305,0.2696598224735318,0.36411471787154603,-1,45.288816984499675,-0.023997999999998854,-1,45.325001,-0.03618401550032502,-0.07983235455488466
2004-01-16,train,45.341,45.382,45.299999,45.325001,-0.0005291847786981219,2.8065599500677346e-07,0.06888888888888889,0.92,0.0026031710437297273,0.014652716529678594,0.0992815814676883,0.07861086441753933,medium,45.345234643662124,45.42127793961733,-0.07604329595520909,0.2696598224735318,0.36411471787154603,-1,45.26600663491989,0.006000000000000227,1,45.331001,-0.06499436508011058,-0.14337729952204362
2004-01-19,train,45.356998,45.358002,45.296001,45.331001,0.000132377272313855,2.8065599500677346e-07,0.06888888888888889,0.92,0.0025562329558721864,0.013007286457946046,0.10062060556804002,0.08111256245349768,medium,45.340490095774754,45.412680135844255,-0.07219004006950058,0.2696598224735318,0.36411471787154603,-1,45.27306270066056,-0.0030020000000021696,-1,45.327999,-0.05493629933943822,-0.12119727442510361
2004-01-20,train,45.34,45.360001,45.299999,45.327999,-6.622399536249102e-05,2.8065599500677346e-07,0.06888888888888889,0.92,0.0025086737446009073,0.009627647750054933,0.09798305000894335,0.08330943676702546,medium,45.33632639718317,45.40461526576385,-0.06828886858068017,0.2696598224735318,0.36411471787154603,-1,45.2711424195067,-0.021000000000000796,-1,45.306999,-0.0358565804932951,-0.07914137171895914
2004-01-21,train,45.338001,45.393002,45.275002,45.306999,-0.00046328980902066164,2.8065599500677346e-07,0.06888888888888889,0.92,0.0024639250304401795,0.015000000039970018,0.09447854207885793,0.0863907415052808,medium,45.32655059812211,45.39531847854825,-0.06876788042613668,0.2696598224735318,0.36411471787154603,-1,45.251182475554884,0.014000000000002899,1,45.320999,-0.0698165244451161,-0.15404895299222354
2004-01-22,train,45.325001,45.342999,45.27,45.320999,0.00030900303063563506,2.8065599500677346e-07,0.06888888888888889,0.92,0.002425014342521221,0.00937076310654686,0.07301678123529108,0.08874918693161116,low,45.324700065414746,45.388240432972225,-0.06354036755747927,0.2696598224735318,0.36411471787154603,-1,45.320999,-0.07699999999999818,-1,45.243999,0.07699999999999818,0.17018831602396192
2004-01-23,train,45.311001,45.341,45.23,45.243999,-0.001698991674918715,2.8065599500677346e-07,0.06888888888888889,0.92,0.0023869379339544225,0.03598228454112595,0.07443971911288663,0.09536222956559762,low,45.2977997102765,45.374503153641534,-0.07670344336503376,0.2696598224735318,0.36411471787154603,-1,45.243999,-0.016998000000000957,-1,45.227001,0.016998000000000957,0.03758374339258302
